#radius(arcsec) #med(Jy/arcsec) #med_sig_lo(Jy/arcsec) #med_sig_up(Jy/arcsec)
0.08 0.00500446825121 0.000227825876757 0.000205800691823
0.24 0.00374715867521 0.00017581157291 0.000168194977151
0.4 0.00241088383575 0.000131204430168 0.000144610676674
0.56 0.0015138238375 0.000122879158215 0.000151897659636
0.72 0.000905271053048 0.000103081651135 0.000104176302067
0.88 0.000649797873028 8.07556166311e-05 7.36999459791e-05
1.04 0.000475909627537 8.77704294007e-05 9.62443026427e-05
1.2 0.000313973178407 8.02974229285e-05 5.6006781731e-05
1.36 0.000215163108165 7.84268125087e-05 5.17177875803e-05
1.52 8.80623101557e-05 5.67920572416e-05 8.56961191475e-05
#1.68 2.93087883616e-05 6.31986844342e-05 4.76153680597e-05
#1.84 -0.00010197881297 6.71599984133e-05 6.00081895808e-05
#2.0 -0.000100640034208 5.8505138261e-05 5.74297534639e-05
