#r #med(Jy/arcsec) #med_sig_lo(Jy/arcsec) #med_sig_up(Jy/arcsec)
0.08 0.924671 0.000166248827812 0.000148563587477
0.24 0.683807 0.000135802658154 0.000131592156723
0.4 0.377131 9.12328837174e-05 0.000105903055641
0.56 0.164596 8.18515863668e-05 6.7608910147e-05
0.72 0.0607591 3.86239696739e-05 7.03854059056e-05
0.88 0.0167606 4.53147424833e-05 4.41422390448e-05
1.04 0.00910045 4.16419681236e-05 4.00173257643e-05
1.2 0.00232628 3.74078593787e-05 5.13589089542e-05
1.36 -0.00337922 5.93103050994e-05 6.22563072852e-05
1.52 -0.00944616 3.6371408324e-05 6.12929680986e-05
1.68 -0.0159078 4.80747234405e-05 3.43156321519e-05
1.84 -0.021891 4.42698678562e-05 3.10037313776e-05
2.0 -0.0226061 4.04746125567e-05 3.16423044965e-05
